X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1618.0,1618.0,train,1.4901417227757696E-4,10.948481322038859,0.48141277301421814
1619.0,1619.0,train,2.188767548592851E-4,28.96417367891488,0.6188278038962337
1620.0,1620.0,train,2.5102388688498566E-4,45.04080568044734,0.6691743750245064
1621.0,1621.0,train,3.193209043684049E-4,91.27215666291173,0.7551530690389688
1622.0,1622.0,train,1.6242635392217365E-4,13.502532958815166,0.5111742840914439
1623.0,1623.0,train,2.880300205917358E-4,68.7424443128225,0.7189535661027111
1624.0,1624.0,train,3.124564063217751E-4,87.33250842419223,0.7476335001681318
1625.0,1625.0,train,1.8090195578056504E-4,17.488711160340696,0.5493949285754833
1626.0,1626.0,train,2.778397511082267E-4,61.551340661582095,0.7060456675794362
1627.0,1627.0,train,2.550540606054055E-4,47.28494538014355,0.6749977750683573
1628.0,1628.0,train,2.602900686239487E-4,50.08395651647209,0.6824107142698095
1629.0,1629.0,train,3.211078352459062E-4,91.75401308013764,0.7570734972194014
1630.0,1630.0,train,2.1758331070409023E-4,28.44765482713806,0.6166490329630998
1631.0,1631.0,train,1.548223040915207E-4,12.049767778888674,0.4945171641004936
1632.0,1632.0,train,1.5674173974568762E-4,12.44819717736684,0.49877460868875656
1633.0,1633.0,train,1.942978051137738E-4,20.22746650133103,0.5752244012190288
1634.0,1634.0,train,2.9274854302292573E-4,72.7401010311525,0.7247369399541719
1635.0,1635.0,train,2.6907591573171747E-4,55.67333923300002,0.6944714553776808
1636.0,1636.0,train,3.176282034771692E-4,90.38501643577928,0.7533199105083597
1637.0,1637.0,train,2.7068041717721083E-4,56.45481271447387,0.696624048271876
1638.0,1638.0,train,2.680550346125685E-4,54.73235722789453,0.6930939014597233
1639.0,1639.0,train,2.482805430145519E-4,43.21278266646038,0.6651508055315498
1640.0,1640.0,train,2.5904380996414337E-4,49.446913707753765,0.6806617879470896
1641.0,1641.0,train,3.022515729210205E-4,79.9815949265448,0.7360258727941118
1642.0,1642.0,train,2.3316715895405025E-4,35.837754482812606,0.6420909073418456
1643.0,1643.0,train,2.948115811888816E-4,74.57761614585095,0.7272280161936157
1644.0,1644.0,train,2.336562868692239E-4,36.10610676514662,0.6428615120188105
1645.0,1645.0,train,3.0480174079702143E-4,81.9637966254662,0.7389757002958742
1646.0,1646.0,train,2.5962572441802154E-4,49.715936908271665,0.6814796079759985
1647.0,1647.0,train,3.149596961889641E-4,89.05226709769947,0.750402061228518
1648.0,1648.0,train,2.5970808533662767E-4,49.75449477318697,0.6815951883324558
1649.0,1649.0,train,3.178120693972515E-4,90.45581249252746,0.7535196959434945
1650.0,1650.0,train,1.6332017386895572E-4,13.758819556321248,0.5130958421043255
1651.0,1651.0,train,3.0532177108221224E-4,82.34139952330564,0.7395731708087514
1652.0,1652.0,train,3.1784288195817775E-4,90.46767661509523,0.7535531604901671
1653.0,1653.0,train,2.2206180568234475E-4,30.58320148596923,0.6241402903891151
1654.0,1654.0,train,2.08256776069714E-4,24.75797320242135,0.600565692756184
1655.0,1655.0,train,1.8223386287860327E-4,17.721661243903974,0.5520318705087879
1656.0,1656.0,train,2.761168398173823E-4,60.13156657723183,0.70380541563412
1657.0,1657.0,train,3.30703825910232E-4,94.60163025474509,0.7671316735797313
1658.0,1658.0,train,2.4289314326258378E-4,40.34334813714064,0.6571063217135027
1659.0,1659.0,train,2.4594909714973826E-4,41.81642722631676,0.6616929102413943
1660.0,1660.0,train,2.7346941938035513E-4,58.345267816020844,0.7003297324882027
1661.0,1661.0,train,2.0716368660033183E-4,24.26304438801369,0.5986370496657125
1662.0,1662.0,train,3.2097808492867214E-4,91.72181226538733,0.7569345621438395
1663.0,1663.0,train,3.1465339977368705E-4,88.86325040378964,0.7500649443904974
1664.0,1664.0,train,1.7563671365727765E-4,16.234042500052855,0.5388178240410388
1665.0,1665.0,train,1.9154612557552568E-4,19.737591534010466,0.5700423998437165
1666.0,1666.0,train,2.308406359621101E-4,35.00018079017041,0.6384027231188438
1667.0,1667.0,train,2.7495638695276906E-4,59.37279995171907,0.7022868977100986
1668.0,1668.0,train,2.9567677188403177E-4,75.16198406063671,0.7282659947769186
1669.0,1669.0,train,2.761917033501403E-4,60.16661327943239,0.7039031124052889
1670.0,1670.0,train,3.0513346080324617E-4,82.2606982374721,0.7393569764453982
1671.0,1671.0,train,3.096086803164725E-4,85.31343609976355,0.7444466466009432
1672.0,1672.0,train,3.037956513920218E-4,81.15550989250744,0.7378158952508367
1673.0,1673.0,train,2.921344479610008E-4,72.3006757504359,0.7239910483793468
1674.0,1674.0,train,3.157989580886666E-4,89.61096181540502,0.751323444001436
1675.0,1675.0,train,2.790284914227825E-4,62.3726746844521,0.707581466230381
1676.0,1676.0,train,2.8196888656075673E-4,64.7422465922775,0.7113459413335085
1677.0,1677.0,train,3.157989580886666E-4,89.61096181540502,0.751323444001436
1678.0,1678.0,train,3.157989580886666E-4,89.61096181540502,0.751323444001436
1679.0,1679.0,train,2.2708351371590632E-4,32.698770845930355,0.6323662262968719
1680.0,1680.0,train,2.7931707985057365E-4,62.58015572776047,0.707953097376548
1681.0,1681.0,train,2.663426324111529E-4,53.91721183029159,0.6907692635931044
1682.0,1682.0,train,2.670536727682218E-4,54.2024662921611,0.6917366525257538
